,url,description,tag,img,video,mois
08/09/2015,http://www.vanityfair.com/news/2015/09/oculus-rift-mark-zuckerberg-cover-story-palmer-luckey,"Facebook a investit 2 milliards de dollar en 2014 pour les occulus rift, la société commence à en voir les bénéfices",business,"http://media.vanityfair.com/photos/55e9ac5e200c34353591712d/master/w_1800,c_limit/oculus-rift-10-2015-mag-opener.jpg",,01/09/2015
10/09/2015,http://www.theverge.com/2015/9/11/9309727/virtual-reality-drawing-glen-keane-disney,Le créateur du personnage d’Alladin de Disney dessine aujourd’hui ses personnages à l’aide de la réalité virtuelle pour mieux visualiser l’espace.,art,https://cdn1.vox-cdn.com/thumbor/IwPkTUOKxeTTVKl2rOiwqo6QHXY=/1400x0/filters:no_upscale()/cdn0.vox-cdn.com/uploads/chorus_asset/file/4051136/glen_keane_vr_drawing.0.gif,,01/09/2015
15/09/2015,http://www.lemonde.fr/proche-orient/video/2015/09/15/realite-virtuelle-immersion-au-c-ur-de-la-syrie-devastee-par-les-combats_4758244_3218.html?xtmc=realite_virtuelle&xtcr=50,"Réalité virtuelle : immersion au cœur de la Syrie dévastée par les combats
",social,"http://static.lexpress.fr/medias_10677/w_2048,h_1146,c_crop,x_0,y_0/w_1520,h_855,c_fill,g_north/v1447956192/bombardement-russe-en-syrie-octobre-2015-photo-d-illustration_5466832.jpg",,01/09/2015
02/10/2015,http://www.roadtovr.com/sightline-dev-creates-incredible-holographic-user-interface-powered-oculus-rift-leap-motion/,Le leap-motion : une des premières technologie qui permet d'interagir avec la réalité virtuelle.,tech,https://media.giphy.com/media/imHnqHFRsdPMs/giphy.gif,,01/10/2015
04/10/2015,http://www.lalsace.fr/actualite/2015/10/04/un-grand-huit-en-realite-virtuelle,Europa Park a créer la première attraction dans un vrai grand huit en utilisant de la réalité virtuelle pour créer une expérience plus folle.,marketing,http://s-www.lalsace.fr/images/C19430E5-4B48-4AB1-8E1A-8ED28678B03E/ALS_V0_07/les-premiers-wagonnets-de-l-express-des-alpes-ont-desormais-pour-destination-un-monde-virtuel-photo-l-alsace-f-t-1443893938.jpg,,01/10/2015
07/10/2015,http://www.ryot.org/sierra-club-first-climate-change-psa-in-virtual-reality-360-jared-leto/944338,SierraClub et RYOT ont réalisé la première vidéo en réalité virtuelle sur le changement climatique.,social,http://illusion.scene360.com/wp-content/uploads/2013/04/reflection-landscapes-04.jpg,,01/10/2015
12/10/2015,http://www.spi0n.com/the-void-test/,"Parc en realité virtuelle à Salt Lake city, “the void”.",jeu,https://media.giphy.com/media/e0zi9B513K1zy/giphy.gif,,01/10/2015
20/10/2015,http://www.challenges.fr/challenges-soir/20151020.CHA0697/dorcel-le-roi-du-porno-se-lance-dans-la-realite-virtuelle.html,Marc Dorcel fait les premiers film X en réalité virtuelle.,insolite,http://referentiel.nouvelobs.com/file/14485862.jpg,,01/10/2015
31/10/2015,https://www.rt.com/usa/320199-september-11-game-virtual-reality/,Revivre le 11 septembre en réalité virtuelle,insolite,https://img.rt.com/files/2015.10/original/5633c2c1c461882f348b45ac.jpg,,01/11/2015
06/11/2015,http://www.gameblog.fr/news/54553-yoshida-sony-ne-veut-pas-gagner-d-argent-avec-le-playstation,"Sony, arrivée de la playsation VR",jeu,http://cdn-uploads.gameblog.fr/images/actu/full/54553_gb_news.jpg,,01/11/2015
08/11/2015,http://www.dailydot.com/geek/virtual-reality-dungeons-and-dragons/,AltSpaceVR est une petite startup de réalité virtuelel qui a décidé de développer le célèbre jeu de plateau Dongeons et Dragons en réalité virtuelle,jeu,http://cdn0.dailydot.com/cache/e5/15/e51599c34feb9cf7eef935eaf0227d02.jpg,,01/11/2015
08/11/2015,http://www.iflscience.com/health-and-medicine/robot-will-let-kids-hospital-explore-zoos-through-virtual-reality,Un robot qui permet aux enfants d’un hôpital d’explorer un zoo comme si il y était.,tech,http://www.iflscience.com/sites/www.iflscience.com/files/styles/ifls_large/public/blog/%5Bnid%5D/inmoov-RfG.jpg?itok=y5KWAhn-,,01/11/2015
09/11/2015,http://www.sciencealert.com/nasa-wants-to-give-everyone-the-chance-to-journey-to-mars-via-virtual-reality,La Nasa veut faire découvrir Mars à l’aide la réalité virtuelle.,insolite,http://www.sciencealert.com/images/articles/processed/marsVR_1024.png,,01/11/2015
03/12/2015,http://www.clubic.com/mag/culture/actualite-788324-star-wars-vr.html,Jeu pour explorer la planète Jaggu de Star Wars.,jeu,https://media.giphy.com/media/kUzpLVbhcYTWo/giphy.gif,,01/12/2015
17/12/2015,http://www.jeuxvideo.com/news/453418/pokemon-go-le-directeur-de-niantic-parle-du-gameplay-et-de-la-realite-virtuelle.htm,"La réalité virtuelle, l'avenir de Nintendo.",business,http://image.jeuxvideo.com/medias-md/145036/1450360635-7038-card.jpg,,01/12/2015
18/12/2015,http://www.virginradio.fr/rihanna-woodkid-a-dirige-la-campagne-promo-d-anti-a480016.html,"Woodkid dirige la campagne de promotion d’anti, le dernier album de Rihanna.",insolite,http://media.virginradio.fr/article-2955884-ratio265_640/rihanna-anti-antidiary-chambre-5-room5-woodkid.jpg,,01/12/2015
05/01/2016,http://www.theverge.com/2016/1/5/10718304/nikon-keymission-360-degree-action-camera-ces-2016,Nikon sort la première camera portable a la manière de “gopro” pour la vr.,tech,https://media.giphy.com/media/cfmNPxciyM8VO/giphy.gif,,01/01/2016
06/01/2016,http://www.journaldugeek.com/2016/01/04/precommande-oculus-rift-mercredi/,Précommande des Oculus Rift.,tech,http://www.journaldugeek.com/wp-content/blogs.dir/1/files/2016/01/countdown-web2.jpg,,01/01/2016
07/01/2016,http://www.lemonde.fr/pixels/article/2016/01/07/pluie-de-critiques-sur-le-prix-du-casque-de-realite-virtuelle-oculus-rift_4843168_4408996.html?xtmc=realite_virtuelle&xtcr=20,Nombreuses réactions sur le prix des oculus rifts,business,http://s2.lemde.fr/image2x/2016/01/07/534x0/4843166_6_9913_palmer-luckey-fondateur-d-oculus-reconnait_00120c5e2fce9d2f4a03b10057bd7ed3.jpg,,01/01/2016
07/01/2016,http://edition.cnn.com/2016/01/07/health/google-cardboard-baby-saved/index.html,Google à mis en place la visualision de coeur en 3D pour les chirurgiens.,social,http://i2.cdn.turner.com/cnnnext/dam/assets/160106100342-google-cardboard-teegan-and-riley-exlarge-169.jpg,,01/01/2016
22/01/2016,http://www.theverge.com/2016/2/22/11087890/mark-zuckerberg-mwc-picture-future-samsung,Ce jeux créer par le Groupe Franbo permet de découvrir le célèbre hôtel du film shinning de Stanley Kubrick avec des occulus rift.,jeu,https://pbs.twimg.com/media/Cbw_bXzWAAIt_ap.jpg,,01/01/2016
05/02/2016,http://www.openculture.com/2016/02/walk-inside-a-salvador-dali-surrealist-painting-with-this-360o-virtual-reality-video.html,Se ballader dans un tableau de salvator dali en réalité virtuelle,art,https://media.giphy.com/media/W0EWNMBKtAyOI/giphy.gif,,01/02/2016
06/02/2016,http://9gag.com/tv/p/aA8Go8/long-distance-sex-toy-the-virtual-reality-virgin-preview,"Relation sexuelle à distance avec des ""Reality sex toys"".",insolite,https://media.giphy.com/media/uw0rgWupMFk6A/giphy.gif,,01/02/2016
09/02/2016,http://www.journaldugeek.com/2016/02/09/nasa-video-mars-360-curiosity/,La Nasa donne des photos en réalité virtuelle de Mars à l’aide de Curiosity.,tech,http://www.journaldugeek.com/wp-content/blogs.dir/1/files/2016/02/Mars.jpg,,01/02/2016
19/02/2016,http://www.sciencesetavenir.fr/sante/cerveau-et-psy/20160217.OBS4833/cerveau-quand-la-chirurgie-eveillee-se-fait-sous-realite-virtuelle.html,Enlever une tumeur en endormissant le patient a l’aide d’un casque de réalité virtuelle (France),social,http://referentiel.nouvelobs.com/file/14866733.jpg,,01/02/2016
22/02/2016,http://gematsu.com/2016/02/ibm-japan-announces-sword-art-online-virtual-reality-project,IBM va développer un jeu en réalité virtuelle où l’utilisateur devra utiliser son propre corps pour se déplacer.,tech,http://gematsu.com/wp-content/uploads/2016/02/SAO-VR-Ann_02-22-16.jpg,,01/02/2016
22/02/2016,http://www.theverge.com/2016/2/22/11087890/mark-zuckerberg-mwc-picture-future-samsung,"Image qui a fait le buzz sur le web, où l’on voit mark Zuckerberg entouré de personne avec des casques VR.",marketing,https://pbs.twimg.com/media/Cbw_bXzWAAIt_ap.jpg,,01/02/2016
22/02/2016,http://www.lemonde.fr/economie/article/2016/02/22/telephonie-mobile-la-course-a-l-innovation-est-lancee_4869544_3234.html?xtmc=realite_virtuelle&xtcr=6,Futur smartphone avec camera 360 et réalité virtuelle.,marketing,http://s1.lemde.fr/image2x/2016/02/22/534x0/4869543_7_ee44_alors-que-l-industrie-est-en-voie-de_7747b99a7afcd92a2b8ccaf2f0509ae6.jpg,,01/02/2016
27/02/2016,http://www.graphiline.com/article/22545/coca-cola-transforme-emballages-casques-de-realite-virtuelle,Coca-Cola transforme ces emballages pour devenir des casques VR,marketing,http://www.graphiline.com/src/images/news/articles/e048a2b1ec5dc052a6bd0dce42be47dc.png,,01/02/2016
27/02/2016,http://www.challenges.fr/high-tech/grand-public/20160226.CHA5542/la-camera-gear-360-de-samsung-au-service-de-la-realite-virtuelle.html,Sortie de la Camera Gear 360° de Samsung pour filmer en VR.,tech,http://referentiel.nouvelobs.com/file/14897175.jpg,,01/02/2016
29/02/2016,http://www.01net.com/actualites/microsoft-hololens-devoile-son-prix-et-son-potentiel-955408.html,Microsoft devoile le prix de la premiere version d’hololens et son potentiel.,tech,https://media.giphy.com/media/vCFeUHJgyvpIc/giphy.gif,,01/02/2016
04/03/2016,http://www.wareable.com/vr/kaleidoscope-vr-world-tour-2422,,art,http://www.wareable.com/media/imager/11128-9e2ed4313ab86bd08322c4b20dcff406.jpg,,01/03/2016
08/03/2016,http://www.theverge.com/2016/3/8/11177854/amazon-vr-platform-job-posting,Amazon veut créer une platforme pour en VR.,business,https://cdn2.vox-cdn.com/thumbor/oREKvNYeaNCcj2WGEi3slEr-L2Q=/0x0:2039x1359/2050x1367/filters:format(webp)/cdn0.vox-cdn.com/uploads/chorus_image/image/49019623/verge-2016-10-13_15-22-12.0.0.jpg,,01/03/2016
08/03/2016,http://www.theverge.com/2016/3/8/11179666/2016-rio-olympics-8K-virtual-reality,Tournage d'épreuve sportive en VR lors des jeux olympiques 2016 de Rio,business,https://cdn1.vox-cdn.com/thumbor/wrvZKN3eWlMKafpLmhH5bbyxvU0=/0x0:5121x3414/2050x1367/filters:format(webp)/cdn0.vox-cdn.com/uploads/chorus_image/image/49022235/GettyImages-514284002.0.jpg,,01/03/2016